timestamp,close,high,low,open
2017-08-30 09:00:00,143.261,143.262,143.26,143.26
2017-08-30 09:00:30,143.264,143.264,143.262,143.262
2017-08-30 09:01:00,143.26,143.263,143.26,143.263
2017-08-30 09:01:30,143.249,143.261,143.249,143.251
2017-08-30 09:02:00,143.259,143.261,143.259,143.26
2017-08-30 09:02:30,143.223,143.26,143.223,143.26
2017-08-30 09:03:00,143.216,143.243,143.216,143.243
2017-08-30 09:03:30,143.256,143.256,143.232,143.232
2017-08-30 09:04:00,143.261,143.261,143.261,143.261
2017-08-30 09:04:30,143.23,143.26,143.23,143.26
2017-08-30 09:05:00,143.227,143.227,143.206,143.212
2017-08-30 09:05:30,143.23,143.256,143.23,143.235
2017-08-30 09:06:00,143.226,143.246,143.215,143.246
2017-08-30 09:06:30,143.255,143.255,143.229,143.229
2017-08-30 09:07:00,143.261,143.261,143.26,143.26
2017-08-30 09:07:30,143.256,143.261,143.254,143.261
2017-08-30 09:08:00,143.251,143.26,143.246,143.246
2017-08-30 09:08:30,143.26,143.261,143.26,143.26
2017-08-30 09:09:00,143.258,143.26,143.239,143.246
2017-08-30 09:09:30,143.262,143.262,143.26,143.26
2017-08-30 09:10:00,143.263,143.264,143.261,143.261
2017-08-30 09:10:30,143.264,143.264,143.263,143.263
2017-08-30 09:11:00,143.263,143.265,143.263,143.264
2017-08-30 09:11:30,143.266,143.266,143.264,143.264
2017-08-30 09:12:00,143.266,143.266,143.265,143.266
2017-08-30 09:12:30,143.265,143.267,143.265,143.267
2017-08-30 09:13:00,143.265,143.266,143.265,143.266
2017-08-30 09:13:30,143.266,143.268,143.266,143.266
2017-08-30 09:14:00,143.265,143.266,143.264,143.266
2017-08-30 09:14:30,143.264,143.266,143.264,143.265
2017-08-30 09:15:00,143.267,143.267,143.265,143.265
2017-08-30 09:15:30,143.269,143.269,143.267,143.267
2017-08-30 09:16:00,143.271,143.271,143.269,143.269
2017-08-30 09:16:30,143.271,143.272,143.271,143.271
2017-08-30 09:17:00,143.271,143.271,143.27,143.271
2017-08-30 09:17:30,143.27,143.271,143.269,143.269
2017-08-30 09:18:00,143.269,143.27,143.269,143.27
2017-08-30 09:18:30,143.267,143.269,143.267,143.269
2017-08-30 09:19:00,143.267,143.268,143.267,143.267
2017-08-30 09:19:30,143.267,143.268,143.267,143.267
2017-08-30 09:20:00,143.264,143.266,143.264,143.266
2017-08-30 09:20:30,143.263,143.264,143.263,143.264
