timestamp,close,high,low,open
2017-07-17 09:00:00,66.339,66.34,66.334,66.34
2017-07-17 09:00:30,66.336,66.343,66.335,66.336
2017-07-17 09:01:00,66.328,66.341,66.328,66.341
2017-07-17 09:01:30,66.332,66.337,66.324,66.324
2017-07-17 09:02:00,66.33,66.339,66.33,66.339
2017-07-17 09:02:30,66.318,66.326,66.315,66.326
2017-07-17 09:03:00,66.332,66.332,66.318,66.318
2017-07-17 09:03:30,66.329,66.343,66.329,66.34
2017-07-17 09:04:00,66.341,66.341,66.33,66.335
2017-07-17 09:04:30,66.337,66.337,66.322,66.335
2017-07-17 09:05:00,66.326,66.33,66.316,66.33
2017-07-17 09:05:30,66.327,66.342,66.327,66.332
2017-07-17 09:06:00,66.324,66.336,66.324,66.336
2017-07-17 09:06:30,66.326,66.326,66.316,66.316
2017-07-17 09:07:00,66.319,66.326,66.319,66.322
2017-07-17 09:07:30,66.31,66.314,66.307,66.31
2017-07-17 09:08:00,66.314,66.322,66.306,66.306
2017-07-17 09:08:30,66.341,66.341,66.318,66.318
2017-07-17 09:09:00,66.326,66.335,66.326,66.335
2017-07-17 09:09:30,66.32,66.333,66.32,66.322
2017-07-17 09:10:00,66.326,66.329,66.324,66.329
2017-07-17 09:10:30,66.309,66.322,66.307,66.322
2017-07-17 09:11:00,66.298,66.307,66.298,66.302
2017-07-17 09:11:30,66.282,66.298,66.282,66.298
2017-07-17 09:12:00,66.282,66.297,66.282,66.284
2017-07-17 09:12:30,66.275,66.289,66.267,66.289
2017-07-17 09:13:00,66.292,66.292,66.279,66.281
2017-07-17 09:13:30,66.277,66.284,66.277,66.284
2017-07-17 09:14:00,66.282,66.283,66.276,66.283
2017-07-17 09:14:30,66.267,66.273,66.264,66.273
2017-07-17 09:15:00,66.26,66.269,66.26,66.267
2017-07-17 09:15:30,66.249,66.265,66.249,66.256
2017-07-17 09:16:00,66.258,66.267,66.254,66.254
2017-07-17 09:16:30,66.26,66.262,66.247,66.262
2017-07-17 09:17:00,66.252,66.259,66.251,66.257
